PRODCODE,BARCODE
C06620810,2000012343230
C06620820,2000012343476
C01320870,2100400001
C04350060,2100400002
C08211120,21439582
C05751030,245759001865
C03320450,24904011026120
C08110110,28850128403346
C03610040,28851907076034
C04110270,28851907097022
C04110280,28851907097039
C02213860,28851907104683
C02711140,28851907116020
C03311210,28851907119182
C03040450,28851907124087
C03311220,28851907126814
C03320480,28851907126845
C03340590,28851907129112
C03340610,28851907129136
C02613380,28851907133430
C02115150,28851907134949
C02115190,28851907134963
C03311350,28851907154855
C02213840,28851907194974
C02213830,28851907194981
C02213820,28851907194998
C02213850,28851907195001
C03311350,28951907154855
C07261140,32200256
C01641440,3320200485123
C01210400,3410411213512
C01220210,3410411213567
C01210550,3410411214649
C01210560,3410411214663
C01260640,3410411215196
C01210640,3410411215400
C01210640,3410411215431
C02613030,3474370026729
C02720050,3474370260505
C02730090,3474370505040
C02730070,3474370505828
C02620010,3474377920075
C02711220,3474377920945
C02711220,3474377920952
C02711220,3474377920969
C02711220,3474377920976
C02613040,3474377922086
C02710460,3474377922130
C02710470,3474377922147
C02711430,3501170770535
C02711450,3501170770542
C02711460,3501170770559
C02711440,3501170770566
C02711470,3501170770573
C08110590,38850086139001
C06110020,38851907013623
C06120230,38851907015399
C06110410,38851907018512
C06110010,38851907018536
C06120170,38851907029563
C06120780,38851907029570
C06120790,38851907029594
C06215340,38851907030194
C06120890,38851907098408
C06111240,38851907110667
C06122440,38851907120147
C06510820,38851907153688
C02513140,4004764000142
C02513080,4004764001330
C02513090,4004764001361
C02513890,4004764001606
C02513890,4004764001613
C02513900,4004764001644
C02513900,4004764001651
C02513910,4004764001682
C02513910,4004764001699
C02513920,4004764001729
C02513980,4004764001965
C02513880,4004764002351
C02513950,4004764003266
C02513950,4004764003273
C02513960,4004764003303
C02513960,4004764003310
C02513970,4004764003341
C02513970,4004764003358
C02513990,4004764003556
C02513930,4004764003792
C02513100,4004764004720
C02513110,4004764004751
C02513120,4004764007387
C02513130,4004764007417
C02513140,4004764007448
C02513150,4004764007479
C02513100,4004764008162
C02521250,4004764017461
C02521340,4004764017607
C02513110,4004764045013
C02513060,4004764058938
C02513940,4004764059331
C02513120,4004764066643
C02513130,4004764066650
C02513150,4004764066667
C02513080,4004764066681
C02513090,4004764066698
C02513210,4004764124428
C02513160,4004764125340
C01613140,4004B001
C02513400,4005401513513
C02513300,4005401523512
C02513310,4005401523635
C01613150,4005B001
C02213460,4006381111935
C02213460,4006381118743
C02213420,4006381215725
C02213440,4006381215732
